,title,issueNum,year,creator
2309,Wonder Woman,223,1987,Rags Morales - 'Ralph Morales'
2310,Wonder Woman,93,1942,Irving ''Irv'' Novick
2311,Wonder Woman,93,1942,Robert 'Bob' Kanigher
2312,Wonder Woman,93,1942,Whitney Ellsworth
2313,Wonder Woman,14,2011,Rick Burchett
2314,Wonder Woman,14,2011,Tony Akins
2315,Wonder Woman,14,2011,Matthew 'Matt' Wilson - '(Primarily an artist)'
2316,Wonder Woman,14,2011,Daniel 'Dan' Green
2317,Wonder Woman,14,2011,Brian Azzarello
2318,Hal Jordan & the Green Lantern Corps,14,2016,Robert Venditti
2319,Hal Jordan & the Green Lantern Corps,14,2016,Jordi Tarragona
2320,Hal Jordan & the Green Lantern Corps,14,2016,Tomeu Morey
2321,Hal Jordan & the Green Lantern Corps,14,2016,Rafa Sandoval - 'Rafael Sandoval'
2322,Birds of Prey,70,1999,Ed Benes
2323,Birds of Prey,70,1999,Hi-Fi Colour Design
2324,Birds of Prey,70,1999,Gail Simone
2325,Birds of Prey,47,1999,Amanda Conner
2326,Birds of Prey,47,1999,Jimmy Palmiotti
2327,Birds of Prey,47,1999,Hi-Fi Colour Design
2328,Birds of Prey,47,1999,Terry Moore
2330,Wonder Woman,185,1942,Michael 'Mike' Sekowsky
2331,Wonder Woman,185,1942,Dick Giordano
2332,Batman: Night Cries,None,1992,Archie Goodwin
2333,Batman: Night Cries,None,1992,Scott Hampton
2334,Wonder Woman,47,1987,Jill Thompson
2335,Wonder Woman,47,1987,Romeo Tanghal
2336,Wonder Woman,47,1987,Julianna Ferriter
2337,Wonder Woman,47,1987,George Prez
2338,Supergirl,6,2005,Ed Benes
2339,Supergirl,6,2005,Norm Rapmund
2340,Supergirl,6,2005,Rodrigo Reis - 'Rod'
2341,Supergirl,6,2005,Greg Rucka
2342,Supergirl: Futures End,1,2014,Hi-Fi Colour Design
2343,Supergirl: Futures End,1,2014,Antony J.L. Bedard - 'Tony Bedard'
2344,Supergirl: Futures End,1,2014,Emanuela Lupacchino
2345,Supergirl: Futures End,1,2014,Ray McCarthy
2346,Justice League of America,151,1960,Jerry Serpe
2347,Justice League of America,151,1960,Gerry Conway
2348,Justice League of America,151,1960,Frank McLaughlin
2349,Justice League of America,151,1960,Dick Dillin
2350,Green Lantern,24,1941,Sheldon Mayer
2351,Green Lantern,24,1941,Irwin Hasen
2352,Green Lantern Corps,12,2006,Tom Nguyen
2353,Green Lantern Corps,12,2006,Dave Gibbons
2354,Green Lantern Corps,12,2006,Prentis Rollins
2355,Green Lantern Corps,12,2006,W. Moose Baumann
2356,Green Lantern Corps,12,2006,Patrick 'Pat' Gleason
2357,Green Lantern,143,1990,Rodney Ramos
2358,Green Lantern,143,1990,Dale Eaglesham
2359,Green Lantern,143,1990,W. Moose Baumann
2360,Green Lantern,143,1990,Judd Winick
2361,Justice League America,71,1989,Dan Jurgens
2362,Justice League America,71,1989,Rick Burchett
2363,Justice League America,71,1989,Sal Velluto
2364,Justice League America,71,1989,Gene D'Angelo
2365,Aquaman,None,1994,Tom J. McCraw
2366,Aquaman,None,1994,Jim Calafiore
2367,Aquaman,None,1994,John Stokes
2368,Aquaman,None,1994,Casey Jones
2369,Aquaman,None,1994,Jake Jacobsen
2370,Aquaman,None,1994,Craig Gilmore - 'Film Shots Studio'
2371,Aquaman,None,1994,Phil Jimenez
2372,Aquaman,None,1994,Martin Egeland
2373,Aquaman,None,1994,Mark McKenna
2374,Aquaman,None,1994,Peter Allen David - 'PAD'
2375,Aquaman,None,1994,Howard M. Shum
2376,The Flash,273,1959,Alex Saviuk
2377,The Flash,273,1959,Cary Bates
2378,The Flash,273,1959,Gene D'Angelo
2379,The Flash,273,1959,Frank Chiaramonte
2380,Nightwing,3,2016,Chris Sotomayor - 'Soto'
2381,Nightwing,3,2016,Tim Seeley
2382,Nightwing,3,2016,Javier 'Javi' Fernandez
2383,Wonder Woman,60,1987,Joe Phillips
2384,Wonder Woman,60,1987,George Prez
2385,Wonder Woman,60,1987,Pablo Marcos
2386,Wonder Woman,60,1987,Cynthia Martin
2387,Wonder Woman,60,1987,Nansi Hoolahan
2388,Wonder Woman,60,1987,Brian Stelfreeze
2389,Green Lantern Corps,20,2011,Scott Hanna
2390,Green Lantern Corps,20,2011,Fernando Pasarin
2391,Green Lantern Corps,20,2011,Peter J. Tomasi
2392,Green Lantern Corps,20,2011,Gabriel A. Eltaeb
2393,Green Lantern,38,1990,Romeo Tanghal
2394,Green Lantern,38,1990,Mark D. Bright - 'Doc Bright'
2395,Green Lantern,38,1990,Gerard Jones
2396,Green Lantern,38,1990,Anthony Tollin
2397,Wonder Woman 75th Anniversary Special,1,2016,Rafael Scavone
2398,Wonder Woman 75th Anniversary Special,1,2016,Jim Lee
2399,Wonder Woman 75th Anniversary Special,1,2016,Alex Sinclair - 'Sinc'
2400,Wonder Woman 75th Anniversary Special,1,2016,Rafael Albuquerque
2401,Wonder Woman 75th Anniversary Special,1,2016,Dave McCaig
2402,Wonder Woman Archives,None,1998,Harry G. Peter
2403,Wonder Woman Archives,None,1998,Dr. William Moulton Marston
2404,Wonder Woman Archives,None,1998,Allen Jamison - 'Jamison/Jamison Services'
2405,Green Lantern Corps: Edge of Oblivion,5,2016,Ardian Syaf
2406,Green Lantern Corps: Edge of Oblivion,5,2016,Tom Taylor
2407,Green Lantern Corps: Edge of Oblivion,5,2016,Mark John Irwin
2408,Green Lantern Corps: Edge of Oblivion,5,2016,Jonathan Glapion
2409,Green Lantern Corps: Edge of Oblivion,5,2016,Cliff Richards
2410,Green Lantern Corps: Edge of Oblivion,5,2016,Blond
2411,Green Lantern Corps: Edge of Oblivion,5,2016,Scott Alan McDaniel
2412,Green Lantern,161,1960,Mike W. Barr
2413,Green Lantern,161,1960,Anthony Tollin
2414,Green Lantern,161,1960,Keith Pollard
2415,Green Lantern,161,1960,Dave Gibbons
2416,Green Lantern,161,1960,Robin Snyder
2417,Green Lantern,161,1960,Pablo Marcos
2418,Green Arrow,90,1988,Eduardo Barreto - 'Luis Eduardo Barreto'
2419,Green Arrow,90,1988,Kevin Dooley
2420,Green Arrow,90,1988,Buzz Setzer
2421,Green Arrow,66,1988,Rick Hoberg
2422,Green Arrow,66,1988,Mike Grell
2423,Green Arrow,66,1988,Julia Lacquement
2424,Green Arrow,66,1988,John Nyberg
2425,Green Arrow,6,2016,Stephen Byrne
2426,Green Arrow,6,2016,Benjamin Percy
2427,Green Arrow,67,1988,Frank Springer
2428,Green Arrow,67,1988,Pablo Marcos
2429,Green Arrow,67,1988,Mike Grell
2430,Green Arrow,67,1988,Julia Lacquement
2431,Wonder Woman,25,2011,Goran Suduka
2432,Wonder Woman,25,2011,Jose Marzan Jr.
2433,Wonder Woman,25,2011,Matthew 'Matt' Wilson - '(Primarily an artist)'
2434,Wonder Woman,25,2011,Brian Azzarello
2435,Supergirl,37,2011,Hi-Fi Colour Design
2436,Supergirl,37,2011,Ray McCarthy
2437,Supergirl,37,2011,Kate Perkins - 'K.'
2439,Supergirl,37,2011,Mike Johnson
2440,Supergirl,37,2011,Emanuela Lupacchino
2442,Adventures of Supergirl [II],5,2016,Sterling Gates
2443,All-Flash,13,1941,Everett E. Hibbard
2444,All-Flash,13,1941,Sheldon Mayer
2445,All-Flash,13,1941,Gardner F. Fox
2446,Justice League: Gods & Monsters [I],8,2015,Bruce Walter Timm
2447,Justice League: Gods & Monsters [I],8,2015,John Marc 'J.M.' DeMatteis
2448,Justice League: Gods & Monsters [I],8,2015,Thony Silas
2449,Justice League: Gods & Monsters [I],8,2015,Tony Avia
2450,FCBD 2016 - Suicide Squad Special Edition,1,2016,Scott Hanna
2451,FCBD 2016 - Suicide Squad Special Edition,1,2016,Ransom Getty
2452,FCBD 2016 - Suicide Squad Special Edition,1,2016,Federico Dallocchio
2453,FCBD 2016 - Suicide Squad Special Edition,1,2016,Val Staples - 'Enigma'
2454,FCBD 2016 - Suicide Squad Special Edition,1,2016,Adam Glass
2455,Batman Superman: The Silver Age Omnibus,None,2016,Darwyn Cooke
2456,Green Lantern,None,2011,Ethan Van Sciver
2457,Green Lantern,None,2011,Hi-Fi Colour Design
2458,Green Lantern,None,2011,Billy Tan - 'Billy Tan Mung Khoy'
2459,Green Lantern,None,2011,Mark John Irwin
2460,Green Lantern,None,2011,Robert Venditti
2461,Green Lantern,None,2011,Pascal Alixe
2462,Green Lantern,None,2011,Alex Sinclair - 'Sinc'
2463,Green Lantern,None,2011,Tony Avia
2464,Green Lantern,None,2011,Pete Pantazis
2465,Green Lantern,None,2011,Scott Hanna
2466,Green Lantern,None,2011,Martin Coccolo
2467,Justice League of America,202,1960,Carl Gafford - 'Gaff'
2468,Justice League of America,202,1960,Gerry Conway
2469,Justice League of America,202,1960,Don Heck
2470,Justice League of America,202,1960,Brett Breeding
2471,The Flash,None,1987,William Messner-Loebs
2472,Wonder Woman,33,2011,Cliff Wu Chiang
2473,Wonder Woman,33,2011,Matthew 'Matt' Wilson - '(Primarily an artist)'
2474,Wonder Woman,33,2011,Brian Azzarello
2475,Wonder Woman,48,1987,Jill Thompson
2476,Wonder Woman,48,1987,Romeo Tanghal
2477,Wonder Woman,48,1987,Tom Ziuko
2478,Wonder Woman,48,1987,George Prez
2479,Justice League of America,112,1960,Anthony Tollin
2480,Justice League of America,112,1960,Dick Dillin
2481,Justice League of America,112,1960,Len Wein
2482,Justice League of America,112,1960,Dick Giordano
2483,The Flash,None,1987,Phillip 'Phil' Hester
2484,The Flash,None,1987,Adrienne Roy
2485,The Flash,None,1987,Aaron McClellan
2486,The Flash,None,1987,Mark Waid
2487,Justice League,29,2011,Keith C. Champagne
2488,Justice League,29,2011,Geoff Johns
2489,Justice League,29,2011,Christian Alamy
2490,Justice League,29,2011,Doug Mahnke
2491,Justice League,29,2011,Rodrigo Reis - 'Rod'
2492,Sensation Comics Featuring Wonder Woman [I],37,2014,Caitlin Kittredge
2493,Sensation Comics Featuring Wonder Woman [I],37,2014,Scott Hampton
2494,Green Lantern: Sector 2814,None,2012,Bruce D. Patterson
2495,Green Lantern: Sector 2814,None,2012,Dave Gibbons
2496,Green Lantern: Sector 2814,None,2012,Len Wein
2497,Green Lantern: Sector 2814,None,2012,Mark Farmer
2498,Green Lantern: Sector 2814,None,2012,Anthony Tollin
2499,Green Lantern: Sector 2814,None,2012,Rich Rankin
2500,Green Lantern: Sector 2814,None,2012,Paul Kupperberg
2501,Green Lantern: Sector 2814,None,2012,Bill Willingham
2502,Green Lantern: Sector 2814,None,2012,Steve Englehart
2503,Green Lantern: Sector 2814,None,2012,Joe Staton
2504,Flash Comics,12,1940,Everett E. Hibbard
2505,Flash Comics,12,1940,Maxwell Charles Gaines
2506,Flash Comics,12,1940,Sheldon Mayer
2507,The Flash,69,1987,Greg LaRocque
2508,The Flash,69,1987,Roy Richardson
2509,The Flash,69,1987,Gerard Jones
2510,The Flash,69,1987,Matthew 'Matt' Hollingsworth
2511,The Flash,69,1987,Mark Waid
2512,Harley Quinn,7,2016,Amanda Conner
2513,Harley Quinn,7,2016,Jimmy Palmiotti
2514,Harley Quinn,7,2016,Alex Sinclair - 'Sinc'
2515,Harley Quinn,7,2016,Hi-Fi Colour Design
2516,Harley Quinn,7,2016,John Timms
2517,Green Lantern: The Greatest Stories Ever Told,None,2006,Alex Ross
2518,Injustice: Ground Zero,2,2016,Christopher Sebela
2519,Injustice: Ground Zero,2,2016,Brian Buccellato - 'Brian Bucce'
2520,Injustice: Ground Zero,2,2016,Thomas Derenick
2521,Injustice: Ground Zero,2,2016,Rex Lokus
2522,Green Lantern Corps,6,2006,Rodney Ramos
2523,Green Lantern Corps,6,2006,Dave Gibbons
2524,Green Lantern Corps,6,2006,W. Moose Baumann
2525,Justice League,19,2011,Joe Prado
2526,Justice League,19,2011,Rodrigo Reis - 'Rod'
2527,Justice League,19,2011,Jonathan Glapion
2528,Justice League,19,2011,Ivan Reis - 'Rodrigo Ivan dos Reis'
2529,Justice League,19,2011,Oclair Albert
2530,Justice League,19,2011,Brad Anderson
2531,Justice League,19,2011,Geoff Johns
2532,Justice League,19,2011,Gary Frank
2533,Green Lantern Corps: Recharge,None,2005,Christian Alamy
2534,Green Lantern Corps: Recharge,None,2005,Geoff Johns
2535,Green Lantern Corps: Recharge,None,2005,Dave Gibbons
2536,Green Lantern Corps: Recharge,None,2005,W. Moose Baumann
2537,Green Lantern Corps: Recharge,None,2005,Patrick 'Pat' Gleason
2538,Suiciders: Kings of Hell.A.,2,2016,Alessandro Vitti
2539,Suiciders: Kings of Hell.A.,2,2016,Lee Bermejo
2540,Suiciders: Kings of Hell.A.,2,2016,Vertigo
2541,Suiciders: Kings of Hell.A.,2,2016,Jordan Boyd
2543,The Flash,4,2011,Brian Buccellato - 'Brian Bucce'
2544,The Flash,4,2011,Francis Manapul
2545,Red Hood & the Outlaws,1,2016,Veronica 'Vero' Gandini
2546,Red Hood & the Outlaws,1,2016,Dexter Soy
2547,Red Hood & the Outlaws,1,2016,Scott Lobdell
2548,Aquaman,62,1962,Bob McLeod
2549,Aquaman,62,1962,Paul Kupperberg
2550,Aquaman,62,1962,Adrienne Roy
2551,Aquaman,62,1962,Don Newton
2552,Justice League of America,119,1960,Carl Gafford - 'Gaff'
2553,Justice League of America,119,1960,Elliot S! Maggin
2554,Justice League of America,119,1960,Frank McLaughlin
2555,Justice League of America,119,1960,Dick Dillin
2556,Green Lantern: Mosaic,1,1992,Cully Hamner
2557,Green Lantern: Mosaic,1,1992,Gerard Jones
2558,Green Lantern: Mosaic,1,1992,Steve Mattsson
2559,Green Lantern: Mosaic,1,1992,Dan Panosian - 'Judas Jones'
2560,Wonder Woman,277,1942,David 'Dave' Hunt
2561,Wonder Woman,277,1942,Jerry Serpe
2562,Wonder Woman,277,1942,Gerry Conway
2563,Wonder Woman,277,1942,Len Wein
2564,Wonder Woman,277,1942,Dick Giordano
2565,Wonder Woman,277,1942,Jos Delbo
2566,Wonder Woman,277,1942,Ross Andru
2567,Justice League of America,47,2006,James Dale Robinson
2568,The Flash,201,1987,James R. Sinclair - 'Jim'
2569,The Flash,201,1987,Geoff Johns
2570,The Flash,201,1987,Alberto C. Dose
2571,Wonder Woman,9,2006,Jodi Picoult
2572,Wonder Woman,9,2006,Terry Dodson
2573,Wonder Woman,9,2006,Alex Sinclair - 'Sinc'
2574,Wonder Woman,9,2006,Rachel Dodson
2575,Green Lantern Corps,58,2006,Matt Banning - 'Batt'
2576,Green Lantern Corps,58,2006,Nei Ruffino
2577,Green Lantern Corps,58,2006,Antony J.L. Bedard - 'Tony Bedard'
2578,Green Lantern Corps,58,2006,Tyler Kirkham
2579,Green Lantern Corps,58,2006,Robert 'Rob' Hunter - 'Bobby-C'
2580,Justice League of America,251,1960,Gerry Conway
2581,Justice League of America,251,1960,William York  Wray - 'Bill'
2582,Justice League of America,251,1960,Gene D'Angelo
2583,Justice League of America,251,1960,Luke McDonnell
2584,Wonder Woman,242,1942,Adrienne Roy
2585,Wonder Woman,242,1942,Joe Giella
2586,Wonder Woman,242,1942,Jack C. Harris
2587,Wonder Woman,242,1942,Jos Delbo
2588,Green Lantern,29,1941,Sheldon Mayer
2589,Green Lantern,29,1941,Irwin Hasen
2590,Aquaman,4,2003,Rick Veitch
2591,Aquaman,4,2003,Yvel Guichet
2592,Aquaman,4,2003,Mark Propst
2593,Aquaman,4,2003,Josh Hood
2594,Aquaman,4,2003,Nathan Eyring
2595,Aquaman,4,2003,Sean P. Parsons
2596,Harley Quinn,12,2016,Amanda Conner
2597,Harley Quinn,12,2016,Jimmy Palmiotti
2598,Harley Quinn,12,2016,Chad Hardin
2599,Harley Quinn,12,2016,Hi-Fi Colour Design
2600,Harley Quinn,12,2016,John Timms
2601,Birds of Prey,1,1999,Charles 'Chuck' Dixon
2602,Birds of Prey,1,1999,Gloria Vasquez
2603,Birds of Prey,1,1999,Android Images
2604,Birds of Prey,1,1999,Drew Geraci
2605,Birds of Prey,1,1999,Greg Land
2606,Wonder Woman,29,1942,Harry G. Peter
2607,Wonder Woman,29,1942,Sheldon Mayer
2608,Wonder Woman,29,1942,Robert 'Bob' Kanigher
2609,Suicide Squad,1,2016,Rob Williams
2610,Justice League Elite,5,2004,Tom Nguyen
2611,Justice League Elite,5,2004,David Baron
2612,Justice League Elite,5,2004,Doug Mahnke
2613,Justice League Elite,5,2004,Joseph 'Joe' Kelly
2614,Green Lantern,54,2005,Gabriel A. Eltaeb
2615,Green Lantern,54,2005,Randy G. Mayor
2616,Green Lantern,54,2005,Christian Alamy
2617,Green Lantern,54,2005,Tom Nguyen
2618,Green Lantern,54,2005,Keith C. Champagne
2619,Green Lantern,54,2005,Geoff Johns
2620,Green Lantern,54,2005,Doug Mahnke
2621,Justice League United,12,2014,Jeromy N. Cox
2622,Justice League United,12,2014,Travel Foreman
2623,Justice League United,12,2014,Jeff Parker
2625,Wonder Woman,220,1942,Dick Giordano
2626,Wonder Woman,220,1942,Martin Pasko
2627,Supergirl,70,1996,Robin Riggs
2628,Supergirl,70,1996,Todd Nauck
2629,Supergirl,70,1996,Peter Allen David - 'PAD'
2630,Supergirl,70,1996,Gene D'Angelo
2631,Supergirl,70,1996,Digital Chameleon
2632,Justice League United,16,2014,Hi-Fi Colour Design
2633,Justice League United,16,2014,Travel Foreman
2634,Justice League United,16,2014,Jeff Parker
2635,Green Arrow,38,2001,Ande J. Parks
2636,Green Arrow,38,2001,Phillip 'Phil' Hester
2637,Green Arrow,38,2001,Guy Major
2638,Green Arrow,38,2001,Judd Winick
2639,Birds of Prey,118,1999,Nicola Scott
2640,Birds of Prey,118,1999,Doug Hazlewood
2641,Birds of Prey,118,1999,Antony J.L. Bedard - 'Tony Bedard'
2642,Birds of Prey,118,1999,Hi-Fi Colour Design
2643,Nightwing,79,1996,Rick Leonardi
2644,Nightwing,79,1996,Devin Kallie Grayson
2645,Nightwing,79,1996,Jesse Delperdang
2646,Nightwing,79,1996,Gregory A. Wright
2647,Nightwing,79,1996,Digital Chameleon
2648,Green Lantern,42,1990,Romeo Tanghal
2649,Green Lantern,42,1990,Mark D. Bright - 'Doc Bright'
2650,Green Lantern,42,1990,Anthony Tollin
2651,Green Lantern,42,1990,Gerard Jones
2652,Green Lantern,42,1990,Scott Kolins
2653,The Legend of Wonder Woman,13,2015,Ray Dillon
2654,The Legend of Wonder Woman,13,2015,Renae De Liz
2655,Green Lantern,15,2011,Mark John Irwin
2656,Green Lantern,15,2011,Christian Alamy
2657,Green Lantern,15,2011,Tom Nguyen
2658,Green Lantern,15,2011,Alex Sinclair - 'Sinc'
2659,Green Lantern,15,2011,Keith C. Champagne
2660,Green Lantern,15,2011,Geoff Johns
2661,Green Lantern,15,2011,Doug Mahnke
2662,Justice League of America,140,1960,Frank McLaughlin
2664,Justice League of America,140,1960,Steve Englehart
2665,Justice League of America,140,1960,Dick Dillin
2666,Wonder Woman,195,1942,Wallace 'Wally' Wood
2667,Wonder Woman,195,1942,Michael 'Mike' Sekowsky
2668,The Flash,109,1987,Oscar Jimenez Garrido - 'Juan Barranco'
2669,The Flash,109,1987,Tom J. McCraw
2670,The Flash,109,1987,Jose Marzan Jr.
2671,The Flash,109,1987,Mark Waid
2672,Green Lantern Corps,53,2006,Matt Banning - 'Batt'
2673,Green Lantern Corps,53,2006,Nei Ruffino
2674,Green Lantern Corps,53,2006,Antony J.L. Bedard - 'Tony Bedard'
2675,Green Lantern Corps,53,2006,Tyler Kirkham
2676,Justice League Europe,21,1989,Josef 'Joe' Rubinstein
2677,Justice League Europe,21,1989,Gerard Jones
2678,Justice League Europe,21,1989,Marshall Rogers
2679,Justice League Europe,21,1989,Keith Ian Giffen
2680,Justice League Europe,21,1989,Gene D'Angelo
2681,Green Lantern,33,1941,Sheldon Mayer
2682,Green Lantern,33,1941,Irwin Hasen
2683,Supergirl,None,2005,Adam Archer
2684,Supergirl,None,2005,Joe Benitez
2685,Supergirl,None,2005,Richard Friend
2686,Supergirl,None,2005,Renato Guedes
2687,Supergirl,None,2005,Marlo Alquiza
2688,Supergirl,None,2005,Victor Llamas
2689,Supergirl,None,2005,Jose Wilson Magalhes
2690,Supergirl,None,2005,Mark Sable
2691,Supergirl,None,2005,Alejandro Garza - 'Al Garza'
2692,Supergirl,None,2005,Antony J.L. Bedard - 'Tony Bedard'
2693,Supergirl,None,2005,Joseph 'Joe' Kelly
2694,Supergirl,None,2005,Sandra Hope-Archer
2695,Supergirl,None,2005,Rodrigo Reis - 'Rod'
2696,The Complete Suiciders: The Big Shake,None,2016,Lee Bermejo
2697,The Complete Suiciders: The Big Shake,None,2016,Vertigo
2699,Birds of Prey,60,1999,Ed Benes
2700,Birds of Prey,60,1999,Rob Lea
2701,Birds of Prey,60,1999,Alex Lei - 'Juci Leito Alexandre'
2702,Birds of Prey,60,1999,Hi-Fi Colour Design
2703,Birds of Prey,60,1999,Gail Simone
2704,Batman: City of Light,5,2003,Renee Paniccia
2705,Batman: City of Light,5,2003,Jacob Pander
2706,Batman: City of Light,5,2003,lvaro Lpez - 'Bakadori'
2707,Batman: City of Light,5,2003,Arnold Pander
2708,Batman: City of Light,5,2003,W. Moose Baumann
2709,Green Lantern: Brightest Day; Blackest Night,None,2002,John K. Snyder III
2710,Green Lantern: Brightest Day; Blackest Night,None,2002,Steven T. Seagle
2711,The Fury of Firestorm,45,1982,Gerry Conway
2712,The Fury of Firestorm,45,1982,George Tuska
2713,The Fury of Firestorm,45,1982,Nansi Hoolahan
2714,The Fury of Firestorm,45,1982,Michael 'Mike' Gustovich
2715,Wonder Woman '77 [I],10,2015,Romulo Fajardo Jr.
2716,Wonder Woman '77 [I],10,2015,Cat Staggs
2717,Wonder Woman '77 [I],10,2015,Marc Andreyko
2718,Wonder Woman,104,1942,Robert 'Bob' Kanigher
2719,Wonder Woman,104,1942,Mike Esposito - 'Espo'
2720,Wonder Woman,104,1942,Ross Andru
2721,Wonder Woman,104,1942,Whitney Ellsworth
2722,Formerly Known as the Justice League,4,2003,John Marc 'J.M.' DeMatteis
2723,Formerly Known as the Justice League,4,2003,Kevin Maguire
2724,Formerly Known as the Justice League,4,2003,Josef 'Joe' Rubinstein
2725,Formerly Known as the Justice League,4,2003,Keith Ian Giffen
2726,Formerly Known as the Justice League,4,2003,Lee Loughridge
2727,The Flash,35,1987,Larry Mahlstedt
2728,The Flash,35,1987,Greg LaRocque
2729,The Flash,35,1987,William Messner-Loebs
2730,The Flash,35,1987,Glenn Whitmore
2731,The Flash,258,1959,Jerry Serpe
2732,The Flash,258,1959,Frank McLaughlin
2733,The Flash,258,1959,Irving ''Irv'' Novick
2734,The Flash,258,1959,Cary Bates
2735,Green Lantern Corps,32,2011,Van Jensen
2736,Green Lantern Corps,32,2011,Justin Norman - 'Moritat'
2737,Green Lantern Corps,32,2011,Bernard Chang
2738,Green Lantern Corps,32,2011,Marcelo Maiolo
2739,Justice League of America,49,2006,Rodrigo Reis - 'Rod'
2740,Justice League of America,49,2006,Don Ho
2741,Justice League of America,49,2006,Robson Rocha
2742,Justice League of America,49,2006,Julio Ferreira
2743,Justice League of America,49,2006,Christian Alamy
2744,Justice League of America,49,2006,John Dell III
2745,Justice League of America,49,2006,Sandra Hope-Archer
2746,Justice League of America,49,2006,Tom Nguyen
2747,Justice League of America,49,2006,James Dale Robinson
2748,Justice League of America,49,2006,Keith C. Champagne
2749,Justice League of America,49,2006,Rodney Ramos
2750,Justice League of America,49,2006,Pow Rodrix
2751,Justice League of America,49,2006,Derek Fridolfs
2752,Justice League Heroes: Falling Star,1,2006,Rob Ruffolo - 'Ruffs'
2753,Justice League Heroes: Falling Star,1,2006,Jim Krueger
2754,Justice League Heroes: Falling Star,1,2006,M3th
2755,Justice League Heroes: Falling Star,1,2006,Rob Ross
2756,Justice League Heroes: Falling Star,1,2006,Joe Ng
2757,Justice League Heroes: Falling Star,1,2006,Kevin Yan
2758,Green Lantern,179,1990,Ron Marz
2759,Green Lantern,179,1990,Luke Ross - 'Luciano Queiroz'
2760,Green Lantern,179,1990,Rodney Ramos
2761,Green Lantern,179,1990,W. Moose Baumann
2762,Aquaman,42,1994,Tom J. McCraw
2763,Aquaman,42,1994,Jim Calafiore
2764,Aquaman,42,1994,Peter Allen David - 'PAD'
2765,Aquaman,42,1994,Peter Louis Palmiotti
2766,Justice League: Generation Lost,14,2010,Aaron Lopresti
2767,Justice League: Generation Lost,14,2010,Hi-Fi Colour Design
2768,Justice League: Generation Lost,14,2010,Matthew C. Ryan - 'Matt Ryan / Matty'
2769,Justice League: Generation Lost,14,2010,Judd Winick
2770,Supergirl,None,2005,Fabian Nicieza
2771,Supergirl,None,2005,Daniel 'Dan' Green
2772,Supergirl,None,2005,Lee Ferguson
2773,Supergirl,None,2005,Renato Guedes
2774,Supergirl,None,2005,Rick Leonardi
2775,Supergirl,None,2005,Marc Deering
2776,Supergirl,None,2005,Ray Snyder
2777,Supergirl,None,2005,Drew Edward Johnson
2778,Supergirl,None,2005,Brad Anderson
2779,Supergirl,None,2005,Jose Wilson Magalhes
2780,Supergirl,None,2005,Kurt Busiek
2781,Supergirl,None,2005,Kelley Puckett
2782,Supergirl,None,2005,Geoff Johns
2783,Justice League vs. Suicide Squad,2,2017,Joshua Williamson
2784,Justice League vs. Suicide Squad,2,2017,Alex Sinclair - 'Sinc'
2785,Justice League vs. Suicide Squad,2,2017,Tony Daniel - 'Antonio Salvador Daniel'
2786,Justice League vs. Suicide Squad,2,2017,Sandu Florea
2787,Supergirl,None,2005,Ian Churchill
2788,Supergirl,None,2005,Beth Sotelo
2789,Supergirl,None,2005,David Morn Zamarripa - 'David Morn'
2790,Supergirl,None,2005,Alex Bleyaert
2791,Supergirl,None,2005,"Joseph ""Jeph"" Loeb III"
2792,Supergirl,None,2005,Christina Strain
2793,Supergirl,None,2005,Norm Rapmund
2794,The Flash,129,1987,Tom J. McCraw
2795,The Flash,129,1987,John Nyberg
2796,The Flash,129,1987,Brian Michael Augustyn
2797,The Flash,129,1987,Paul Ryan
2798,The Flash,129,1987,Mark Waid
2799,Green Lantern: New Guardians,None,2011,Antony J.L. Bedard - 'Tony Bedard'
2800,Green Lantern: New Guardians,None,2011,Tyler Kirkham
2801,The Fury of Firestorm,4,1982,Gerry Conway
2802,The Fury of Firestorm,4,1982,Rodin L. Rodriguez
2803,The Fury of Firestorm,4,1982,Gene D'Angelo
2804,The Fury of Firestorm,4,1982,Patrick 'Pat' Broderick
2805,Supergirl,None,2005,Sterling Gates
2806,Supergirl,None,2005,Jamal Yaseem Igle
2807,Supergirl,None,2005,Pete Pantazis
2808,Supergirl,None,2005,Nei Ruffino
2809,Supergirl,None,2005,Ulises Arreola
2810,Supergirl,None,2005,Helen Slater
2811,Supergirl,None,2005,Cliff Wu Chiang
2812,Supergirl,None,2005,Jake Black
2813,Supergirl,None,2005,Fernando Dagnino
2814,Supergirl,None,2005,Matt Camp
2815,Supergirl,None,2005,Raul Fernandez
2816,Red Thorn,2,2016,Vertigo
2817,Red Thorn,2,2016,Steve Oliff
2818,Red Thorn,2,2016,David Baillie
2820,Red Thorn,2,2016,Meghan Hetrick-Murante
2821,Aquaman,2,1991,Bob Dvorak
2822,Aquaman,2,1991,Shaun McLaughlin
2823,Aquaman,2,1991,Tom J. McCraw
2824,Aquaman,2,1991,Ken Hooper
2825,Justice League America,70,1989,Dan Jurgens
2826,Justice League America,70,1989,Rick Burchett
2827,Justice League America,70,1989,Gene D'Angelo
2828,Batman: Li'l Gotham,3,2013,Derek Fridolfs
2829,Batman: Li'l Gotham,3,2013,Dustin Nguyen
2830,Wonder Woman,192,1942,Michael 'Mike' Sekowsky
2831,Wonder Woman,192,1942,Dick Giordano
2832,Justice League,47,2011,Geoff Johns
2833,Justice League,47,2011,Brad Anderson
